"Rank","Name","W","L","Pct"
"28","Iona","34","22-12","2736","80.5"
"29","Purdue","31","25-6","2494","80.5"
"30","Duke","32","24-8","2574","80.4"
"31","Iowa St.","30","20-10","2413","80.4"
"32","Indiana","31","17-14","2493","80.4"
"33","Auburn","32","18-14","2573","80.4"
"34","BYU","33","22-11","2652","80.4"
"35","Iowa","31","18-13","2486","80.2"
"36","Green Bay","31","18-13","2483","80.1"
"37","Montana St.","32","16-16","2561","80.0"
"38","Murray St.","33","16-17","2639","80.0"
"39","North Dakota","28","19-9","2239","80.0"
"40","ETSU","34","27-7","2717","79.9"
"41","Nevada","31","25-6","2474","79.8"
"42","Winthrop","32","26-6","2551","79.7"
"43","New Mexico St.","30","25-5","2390","79.7"
"44","Virginia Tech","31","22-9","2468","79.6"
"45","Oakland","32","24-8","2542","79.4"
"46","FGCU","33","26-7","2621","79.4"
"47","Houston Baptist","29","17-12","2303","79.4"
"48","Ball St.","31","20-11","2461","79.4"
"49","Toledo","32","17-15","2540","79.4"
"50","Samford","34","19-15","2698","79.4"
"51","Weber St.","29","17-12","2300","79.3"
"52","Arizona St.","32","15-17","2536","79.3"
"53","Oregon","31","27-4","2456","79.2"
"54","Eastern Wash.","31","21-10","2453","79.1"
"55","Morehead St.","30","14-16","2370","79.0"
"56","Utah","30","20-10","2368","78.9"
"57","Southern California","31","23-8","2445","78.9"
"58","Troy","33","19-14","2601","78.8"
"59","Florida","31","24-7","2443","78.8"
"60","USC Upstate","32","17-15","2518","78.7"
"61","Wofford","33","16-17","2593","78.6"
"62","Notre Dame","31","23-8","2435","78.5"
"63","Canisius","33","18-15","2591","78.5"
"64","CSUN","29","11-18","2273","78.4"
"65","UTRGV","31","10-21","2427","78.3"
"66","Eastern Mich.","32","16-16","2504","78.3"
"","Lamar University","32","19-13","2504","78.3"
"68","IUPUI","32","14-18","2500","78.1"
"69","Buffalo","31","17-14","2421","78.1"
"70","UT Arlington","31","24-7","2416","77.9"
"71","Southern Utah","32","6-26","2489","77.8"
"72","Louisiana Tech","31","22-9","2411","77.8"
"73","Ohio","29","19-10","2254","77.7"
"74","Austin Peay","30","11-19","2331","77.7"
"75","South Dakota","33","22-11","2564","77.7"
"76","Kent St.","32","19-13","2486","77.7"
"77","Ole Miss","31","19-12","2407","77.6"
"","Akron","31","24-7","2407","77.6"
"79","North Carolina St.","32","15-17","2483","77.6"
"80","South Dakota St.","34","18-16","2637","77.6"
"","North Florida","34","15-19","2637","77.6"
"82","Villanova","31","28-3","2404","77.5"
"","Louisville","31","24-7","2404","77.5"
"84","Jacksonville","32","17-15","2481","77.5"
"85","Wyoming","32","18-14","2479","77.5"
"86","St. Bonaventure","30","19-11","2323","77.4"
"87","Belmont","28","22-6","2167","77.4"
"88","Utah Valley","29","14-15","2243","77.3"
"89","UMKC","31","16-15","2396","77.3"
"90","Hofstra","32","15-17","2473","77.3"
"91","Stetson","32","11-21","2471","77.2"
"92","UT Martin","33","21-12","2548","77.2"
"93","UNC Asheville","32","23-9","2469","77.2"
"94","Gardner-Webb","33","19-14","2546","77.2"
"95","St. John's (NY)","32","14-18","2467","77.1"
"96","Wright St.","32","20-12","2465","77.0"
"97","Detroit Mercy","31","8-23","2387","77.0"
"98","Youngstown St.","34","13-21","2616","76.9"
"99","Butler","30","23-7","2308","76.9"
"100","Dayton","30","24-6","2303","76.8"
"101","Quinnipiac","31","10-21","2377","76.7"
"102","Ga. Southern","31","18-13","2373","76.5"
"103","Charlotte","30","13-17","2295","76.5"
"","Washington","30","9-21","2295","76.5"
"105","Ill.-Chicago","33","15-18","2520","76.4"
"106","Northern Ky.","34","24-10","2589","76.1"
"107","Boise St.","29","19-10","2207","76.1"
"108","Bucknell","34","26-8","2587","76.1"
"109","Lehigh","32","20-12","2432","76.0"
"","Northwestern St.","29","13-16","2204","76.0"
"111","Western Mich.","31","16-15","2354","75.9"
"112","Brown","30","13-17","2275","75.8"
"113","Denver","30","16-14","2273","75.8"
"114","Syracuse","32","18-14","2424","75.8"
"115","Rider","33","18-15","2498","75.7"
"116","Saint Francis (PA)","32","16-16","2420","75.6"
"117","A&M-Corpus Christi","29","19-10","2193","75.6"
"","La Salle","29","15-14","2193","75.6"
"119","Minnesota","31","23-8","2344","75.6"
"120","Long Beach St.","32","14-18","2419","75.6"
"121","Colorado","32","19-13","2416","75.5"
"122","Texas Southern","32","21-11","2414","75.4"
"123","N.C. Cent","31","23-8","2335","75.3"
"124","Valparaiso","32","24-8","2408","75.3"
"125","Arizona","31","27-4","2332","75.2"
"126","Elon","32","18-14","2403","75.1"
